ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
cheng lingyun	China:Univ Calif San Diego, Dept Ophthalmol, Jacobs Retina Ctr, Shiley Eye Ctr, La Jolla, CA 92093 USA. University of California San DiegoUniversity of California System	OPHTHALMOLOGY	Intraocular and Systemic Pharmacokinetics of Triamcinolone Acetonide after a Single 40-mg Posterior Subtenon Application
cheng lingyun	China:Univ Calif San Diego, Dept Ophthalmol, Jacobs Retina Ctr, Shiley Eye Ctr, La Jolla, CA 92093 USA. University of California San DiegoUniversity of California System	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	FURTHER CHARACTERIZATION OF OCULAR SAFETY PROFILE OF COMMERCIALLY AVAILABLE PRESERVED AND PRESERVATIVE-FREE TRIAMCINOLONE ACETONIDE
cheng x	China:Chinese PLA Med Sch, Dept Ophthalmol, Beijing,Peoples R China. 	EYE	Ophthalmic manifestations in a Chinese family with familial amyloid polyneuropathy due to a TTR Gly83Arg mutation
cheng yu	China:Jiao Tong Univ, Sch Med, Ruijin Hosp, Dept Ophthalmol, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	OCULAR IMMUNOLOGY AND INFLAMMATION	Effect of Pigment Epithelium Derived Factor on the Expression of Glutamine Synthetase in Early Phase of Experimental Diabetic Retinopathy
cheng yu	China:Jiao Tong Univ, Sch Med, Ruijin Hosp, Dept Ophthalmol, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Ahmed valve implantation for neovascular glaucoma after 23-gauge vitrectomy in eyes with proliferative diabetic retinopathy
cheung cheung	China:Univ Hong Kong, Queen Mary Hosp, Fac Med, Dept Med, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	CURRENT EYE RESEARCH	The efficacy of intravitreal vancomycin and dexamethasone in the treatment of experimental Bacillus cereus endophthalmitis
choi choi	China:Chinese Univ Hong Kong, Prince Wales Hosp, Dept Anat & Cellular Pathol, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong KongPrince of Wales Hospital	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Retrocapsular lens matter in uneventful phacoemulsification: does it really exist?
choy kwongwai	China:Chinese Univ Hong Kong, Dept Obstet & Gynaecol, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Interactive Expressions of HtrA1 and VEGF in Human Vitreous Humors and Fetal RPE Cells
chu liqun	China:Capital Med Univ, Beijing Shijitan Hosp, Dept Ophthalmol, Beijing 100038,Peoples R China. Capital Medical University	MOLECULAR VISION	Study of 27 aqueous humor cytokines in patients with type 2 diabetes with or without retinopathy
chu liqun	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effect of Robo1 on Retinal Pigment Epithelial Cells and Experimental Proliferative Vitreoretinopathy
chu qing	China:Chinese Acad Sci, Lab Clin Visual Sci, Inst Hlth Sci, Shanghai Inst Biol Sci, Shanghai,Peoples R China. Chinese Academy of SciencesShanghai Institutes for Biological Sciences	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Intravitreal Injection of Exendin-4 Analogue Protects Retinal Cells in Early Diabetic Rats
chu renyuan	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200032,Peoples R China. Fudan University	CUTANEOUS AND OCULAR TOXICOLOGY	Illumination with monochromatic long-wavelength light promotes myopic shift and ocular elongation in newborn pigmented guinea pigs
chu renyuan	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200032,Peoples R China. Fudan University	EXPERIMENTAL EYE RESEARCH	Effects of different monochromatic lights on refractive development and eye growth in guinea pigs
chu renyuan	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200032,Peoples R China. Fudan University	JOURNAL OF VISION	Transfer from blue light or green light to white light partially reverses changes in ocular refraction and anatomy of developing guinea pigs
chu renyuan	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200032,Peoples R China. Fudan University	CURRENT EYE RESEARCH	Effects of 530 nm Green Light on Refractive Status, Melatonin, MT1 Receptor, and Melanopsin in the Guinea Pig
chu renyuan	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200032,Peoples R China. Fudan University	JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS	Physical Characteristics of Ocular Structures in Chinese Children With Emmetropia
congdon nathang	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Visual outcomes of cataract surgery performed by supervised novice surgeons during training in rural China
cui chen	China:Nantong Univ, Affiliated Hosp, Dept Ophthalmol, Nantong, Jiangsu,Peoples R China. Nantong University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Kininogen 1 and insulin-like growth factor binding protein 6: candidate serum biomarkers of proliferative vitreoretinopathy
cui chen	China:Nantong Univ, Affiliated Hosp, Dept Ophthalmol, Nantong, Jiangsu,Peoples R China. Nantong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Elucidation of the Pathogenic Mechanism of Rhegmatogenous Retinal Detachment with Proliferative Vitreoretinopathy by Proteomic Analysis
cui dongmei	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Anatomic and Visual Outcomes of Initially Closed Macular Holes
cui hao	China:Harbin Med Coll, Affiliated Hosp 1, Dept Ophthalmol, Harbin 150001, Heilongjiang Pr,Peoples R China. Harbin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effect of menthol on ocular drug delivery
cui hao	China:Harbin Med Coll, Affiliated Hosp 1, Dept Ophthalmol, Harbin 150001, Heilongjiang Pr,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Effect of Borneol on the Distribution of Danshensu to the Eye in Rabbit via Oral Administration
cui jing	China:Tianjin Med Univ, Gen Hosp, Dept Ophthalmol, Tianjin 300052,Peoples R China. Tianjin Medical University	CURRENT EYE RESEARCH	Reasons for and Management of Postvitrectomy Vitreous Hemorrhage in Proliferative Diabetic Retinopathy
cui lei	China:Capital Med Univ, Beijing Tongren Hosp, Dept Ophthalmol, Beijing 100730,Peoples R China. Capital Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Alteration of intraocular pigment epithelium-derived factor and vascular endothelial growth factor in patients with diabetic retinopathy
cui lele	China:Hosp Eye, Wenzhou Med Coll, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	OPHTHALMOLOGY	Sutureless Vitrectomy Incision Architecture in the Immediate Postoperative Period Evaluated In Vivo Using Optical Coherence Tomography
da cuidi	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Fudan University	CURRENT EYE RESEARCH	Expression of Macrophage Colony-Stimulating Factor (M-CSF) and Its Receptor in Streptozotocin-Induced Diabetic Rats
dai baisheng	China:Harbin Inst Technol, Sch Comp Sci & Technol, Harbin 150006,Peoples R China. Harbin Institute of Technology	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of crowded optic nerve head and small scleral canal in intrapapillary hemorrhage with adjacent peripapillary subretinal hemorrhage
dai jinhui	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	EXPERIMENTAL EYE RESEARCH	Effects of different monochromatic lights on refractive development and eye growth in guinea pigs
dai jinhui	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	JOURNAL OF VISION	Transfer from blue light or green light to white light partially reverses changes in ocular refraction and anatomy of developing guinea pigs
dai wenbing	China:Peking Univ, Sch Pharmaceut Sci, Key Lab Nat & Biomimet Drugs, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	EphA2 Targeted Doxorubicin Stealth Liposomes as a Therapy System for Choroidal Neovascularization in Rats
dai xufeng	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003,Peoples R China. Wenzhou Medical University	MOLECULAR VISION	Gene therapy following subretinal AAV5 vector delivery is not affected by a previous intravitreal AAV5 vector administration in the partner eye
dang guangfu	China:Shandong Univ, Qianfoshan Hosp, Sch Med, Dept Ophthalmol, Jinan 250014, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	General anesthesia versus local anesthesia for penetrating keratoplasty: a prospective study
deng jiangwen	China:Hosp PLA, Dept Ophthalmol, Huaihua City, Hunan,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Two-hook technique for nucleus extraction in manual sutureless extracapsular cataract extraction
deng zhihong	China:Cent S Univ, Xiangya Hosp 3, Dept Ophthalmol, Changsha 410013, Hunan,Peoples R China. Central South University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Insulin-like growth factor-2 antisense oligonucleotides inhibits myopia by expression blocking of retinal insulin-like growth factor-2 in guinea pig
deng zhihong	China:Tianjin Med Univ, Ctr Eye, Tianjin 300070,Peoples R China. Tianjin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	The correlation between the regulation of recombinant human IGF-2 on eye growth and form-deprivation in guinea pig
ding tianbing	China:Fourth Mil Med Univ, Dept Microbiol, Xian 710038,Peoples R China. Fourth Military Medical University	CURRENT EYE RESEARCH	Oxidative Responses Induced by Pharmacologic Vitreolysis and/or Long-term Hyperoxia Treatment in Rat Lenses
ding xiaoyan	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Outcomes of Vitrectomy for Progressive X-Linked Retinoschisis
ding yong	China:Jinan Univ, Dept Ophthalmol, Affiliated Hosp 1, Guangzhou 510630, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endogenous aspergillus endophthalmitis after kidney transplantation
do chiwai	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	In Vivo Assessment of Aqueous Humor Dynamics Upon Chronic Ocular Hypertension and Hypotensive Drug Treatment Using Gadolinium-Enhanced MRI
dong fangtian	China:Beijing Union Med Coll Hosp, Peking Union Med Coll, Dept Ophthalmol, Beijing 100710,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	EXPERIMENTAL EYE RESEARCH	Transthyretin Ala36Pro mutation in a Chinese pedigree of familial transthyretin amyloidosis with elevated vitreous and serum vascular endothelial growth factor
dong fangtian	China:Beijing Union Med Coll Hosp, Peking Union Med Coll, Dept Ophthalmol, Beijing 100710,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Cysteine-rich 61 (CYR61) is up-regulated in proliferative diabetic retinopathy
dong jianqiang	China:Peking Univ Peoples Hosp, Ctr Lab, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effect of Robo1 on Retinal Pigment Epithelial Cells and Experimental Proliferative Vitreoretinopathy
dong li	China:Harbin Med Univ, Clin Coll 1, Ophthalmol Hosp, Harbin 150001, Heilongjiang Pr,Peoples R China. Harbin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of crowded optic nerve head and small scleral canal in intrapapillary hemorrhage with adjacent peripapillary subretinal hemorrhage
dong ning	China:Capital Med Univ, Beijing Shijitan Hosp, Dept Ophthalmol, Beijing 100038,Peoples R China. Capital Medical University	MOLECULAR VISION	Study of 27 aqueous humor cytokines in patients with type 2 diabetes with or without retinopathy
dong xiaoguang	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	INTRAVITREALLY IMPLANTABLE VORICONAZOLE DELIVERY SYSTEM FOR EXPERIMENTAL FUNGAL ENDOPHTHALMITIS
dong xiaoguang	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CURRENT EYE RESEARCH	Expression Profile and Regulation of Telomerase Reverse Transcriptase on Oxygen-Induced Retinal Neovascularization
dong xiaojuan	China:Xian 4 Hosp, Dept Ophthalmol, Xian 710004, Shaanxi Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Multiple methods of surgical treatment combined with primary IOL implantation on traumatic lens subluxation/dislocation in patients with secondary glaucoma
du changqing	China:Taishan Med Univ, Dept Histol & Embryol, Tai An 271000, Shandong,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	Hydrogen-rich saline protects retina against glutamate-induced excitotoxic injury in guinea pig
du hongjun	China:Fourth Mil Med Univ, Dept Ophthalmol, Eye Inst Chinese PLA, Xijing Hosp, Xian 710032,Peoples R China. Fourth Military Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Mechanical force enhances MMP-2 activation via p38 signaling pathway in human retinal pigment epithelial cells
du hongjun	China:Fourth Mil Med Univ, Dept Ophthalmol, Eye Inst Chinese PLA, Xijing Hosp, Xian 710032,Peoples R China. Fourth Military Medical University	CURRENT EYE RESEARCH	Increased levels of soluble syndecan-1 in the subretinal fluid and the vitreous of eyes with rhegmatogenous retinal detachment
du hui	China:Taishan Med Univ, Dept Histol & Embryol, Tai An 271000, Shandong,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	Hydrogen-rich saline protects retina against glutamate-induced excitotoxic injury in guinea pig
du ke	China:Xiangyang Ctr Hosp, Dept Oncol, Xiangyang,Peoples R China. 	MOLECULAR VISION	Overexpression of 15-lipoxygenase-1 in oxygen-induced ischemic retinopathy inhibits retinal neovascularization via downregulation of vascular endothelial growth factor-A expression
du wei	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Subei Peoples Hosp Jiangsu Prov, Yangzhou, Jiangsu,Peoples R China. Yangzhou University	CURRENT EYE RESEARCH	Intravitreal Injection of Soluble Erythropoietin Receptor Exacerbates Photoreceptor Cell Apoptosis in a Rat Model of Retinal Detachment
du wennan	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Different Intravitreal Properties of Three Triamcinolone Formulations and Their Possible Impact on Retina Practice
du wennan	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Ocular Pharmacokinetics of Bevacizumab in Vitrectomized Eyes with Silicone Oil Tamponade
duan xinrong	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Prevalence and Associations of Epiretinal Membranes in a Rural Chinese Adult Population: The Handan Eye Study
duan xinrong	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	BMC OPHTHALMOLOGY	Prevalence and risk factors of posterior vitreous detachment in a Chinese adult population: the Handan eye study
duan xuanchu	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Diagnosis and treatment of myopic traction maculopathy
duan xuanchu	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Efficacy and necessity of prophylactic vitrectomy for acute retinal necrosis syndrome
fan fang	China:Cent S Univ, Dept Ophthalmol, Xiang Ya Hosp 2, Changsha 410011, Hunan,Peoples R China. Central South University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Protective effects of human umbilical cord blood stem cell intravitreal transplantation against optic nerve injury in rats
fan jiawen	China:Fudan Univ, EENT Hosp, Inst Eye, Shanghai 200433,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Aquaporin Changes during Diabetic Retinopathy in Rats Are Accelerated by Systemic Hypertension and Are Linked to the Renin-Angiotensin System
fan xianqun	China:Shanghai Jiao Tong Univ, Sch Med, Dept Ophthalmol, Peoples Hosp 9, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Enzyme-Induced Vitreolysis Can Alleviate the Progression of Diabetic Retinopathy Through the HIF-1 alpha Pathway
fan ying	China:Shanghai Jiao Tong Univ, Peoples Hosp 1, Dept Ophthalmol, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	OPHTHALMIC SURGERY LASERS & IMAGING	Combination of Internal Limiting Membrane Peeling and Endophotocoagulation for Retinal Detachment Related to High Myopia in Patients With Macular Hole
fang wang	China:Shenzhen Childrens Hosp, Dept Ophthalmol, Shenzhen 518026, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Transthyretin Arg-83 mutation in vitreous amyloidosis
fang x	China:Zhejiang Univ, Sch Med, Dept Ophthalmol, Affiliated Hosp 2, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	EYE	Surgical outcome after removal of idiopathic macular epiretinal membrane in young patients
fang x	China:Zhejiang Univ, Sch Med, Dept Ophthalmol, Affiliated Hosp 2, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Co-existent choroidal neovascular membrane and macular hole in pathologic myopia: a long follow-up clinical outcome and literature review
fang yuan	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	CURRENT EYE RESEARCH	Rescue of Photoreceptors by BDNF Gene Transfer Using In Vivo Electroporation in the RCS Rat of Retinitis Pigmentosa
