abdulhalim sancar	China:Wuhan Univ, Dept Ophthalmol, Zhongnan Hosp, Wuhan 430072, Hubei,Peoples R China. Wuhan University	PLOS ONE	Anti-VEGF Agents with or without Antimetabolites in Trabeculectomy for Glaucoma: A Meta-Analysis
chang hongfa	China:Gen Hosp Tibet Mil Command, Dept Ophthalmol, Lhasa 850007, Tibet Autonomou,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Prevalence and risk factors for eye diseases, blindness, and low vision in Lhasa, Tibet
chang raymondchuenchung	China:Univ Hong Kong, LKS Fac Med, Res Ctr Heart Brain Hormone & Hlth Aging, Pokfulam, Hong Kong,Peoples R China. University of Hong Kong	MOLECULAR VISION	Review: Tauopathy in the retina and optic nerve: does it shadow pathological changes in the brain?
chao jia	China:Fushun Eye Hosp, Fushun, Liaoning Provin,Peoples R China. 	JOURNAL OF GLAUCOMA	Daytime Fluctuation of Intraocular Pressure in Patients With Primary Angle-Closure Glaucoma After Trabeculectomy
chau ricky	China:Private Eye Ctr, Hong Kong, Hong Kong,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Effect of laser in situ keratomileusis on rebound tonometry and Goldmann applanation tonometry
che chengye	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of corneal graft diameter on therapeutic penetrating keratoplasty for fungal keratitis
che wenjian	China:Huazhong Univ Sci & Technol, Tongji Hosp, Dept Orthoped, Tongji Med Coll, Wuhan 430022, Hubei Province,Peoples R China. Huazhong University of Science & Technology	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Study of self-made freeze-dried bilayered fibrin-binding amniotic membrane in ocular trabeculectomy in rabbits
chen bin	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. Shantou University	CURRENT EYE RESEARCH	Corneal Hysteresis Is Correlated with Reduction in Axial Length After Trabeculectomy
chen bin	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. Shantou University	CORNEA	Determinants of Postoperative Corneal Edema and Impact on Goldmann Intraocular Pressure
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Anterior visual pathway assessment by magnetic resonance imaging in normal-pressure glaucoma
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Ocular hypertension
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Retinal nerve fibre layer thickness measured by Spectralis spectral-domain optical coherence tomography: The Beijing Eye Study
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Subfoveal Choroidal Thickness: The Beijing Eye Study
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Anterior chamber depth and chamber angle and their associations with ocular and general parameters: The Beijing eye study
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Subfoveal Choroidal Thickness in Diabetes and Diabetic Retinopathy
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Visual Acuity and Subfoveal Choroidal Thickness: The Beijing Eye Study
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	PLOS ONE	Localized Retinal Nerve Fiber Layer Defects Detected by Optical Coherence Tomography: The Beijing Eye Study
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	JOURNAL OF GLAUCOMA	Agreement Between Spectral Domain Optical Coherence Tomography and Retinal Nerve Fiber Layer Photography in Chinese
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Central corneal thickness in adult Chinese. Association with ocular and general parameters. The Beijing Eye Study
chen chao	China:NW Univ Xian, Natl Engn Res Ctr Miniaturized Detect Syst, Sch Life Sci, Xian 710069, Shaanxi,Peoples R China. Northwest University Xian	OPHTHALMIC GENETICS	Ophthalmic findings in a family with early-onset isolated ectopia lentis and the p.Arg62Cys mutation of the fibrillin-1 gene (FBN1)
chen chuying	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Comparison of Lens Thickness Measurements Using the Anterior Segment Optical Coherence Tomography and A-scan Ultrasonography
chen d	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EYE	Association between corneal biomechanical properties and myopia in Chinese subjects
chen dan	China:Cent S Univ, Dept Anat & Neurobiol, Xiangya Sch Med, Changsha 410013, Hunan,Peoples R China. Central South University	CURRENT EYE RESEARCH	Differential Changes of Local Blood Supply in Rat Retinae Are Involved in the Selective Loss of Retinal Ganglion Cells Following the Acute High Intraocular Pressure
chen dan	China:Cent S Univ, Dept Anat & Neurobiol, Xiangya Sch Med, Changsha 410013, Hunan,Peoples R China. Central South University	EXPERIMENTAL EYE RESEARCH	Distribution of thrombospondins and their neuronal receptor alpha 2 beta 1 in the rat retina
chen davie	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPHTHALMOLOGY	The influence of cornea properties on rebound tonometry
chen davie	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	The Usefulness of Waveform Score from the Ocular Response Analyzer
chen dong	China:Sun Yat Sen Univ, Affiliated Hosp 1, Guangzhou,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A rabbit dry eye model induced by topical medication of a preservative benzalkonium chloride
chen dong	China:Sun Yat Sen Univ, Affiliated Hosp 1, Guangzhou,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Soluble Nogo-66 Receptor Prevents Synaptic Dysfunction and Rescues Retinal Ganglion Cell Loss in Chronic Glaucoma
chen fang	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Subei Peoples Hosp Jiangsu Prov, Yangzhou, Jiangsu,Peoples R China. Yangzhou University	CURRENT EYE RESEARCH	Intravitreal Injection of Soluble Erythropoietin Receptor Exacerbates Photoreceptor Cell Apoptosis in a Rat Model of Retinal Detachment
chen fei	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Neuroprotective effect of epigallocatechin-3-gallate against N-methyl-d-aspartate-induced excitotoxicity in the adult rat retina
chen guangdi	China:Zhejiang Univ, Sch Med, Dept Publ Hlth, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	PLOS ONE	Association of Glutathione S transferases Polymorphisms with Glaucoma: A Meta-Analysis
chen guangdi	China:Zhejiang Univ, Sch Med, Dept Publ Hlth, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Lack of association between lysyl oxidase-like 1 polymorphisms and primary open angle glaucoma: a meta-analysis
chen guochun	China:Harvard Univ, Sch Med, Dept Ophthalmol, Schepens Eye Res Inst, Boston, MA 02114 USA. Harvard University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Optic Neuropathy Due to Microbead-Induced Elevated Intraocular Pressure in the Mouse
chen guohai	China:Quzhou Peoples Hosp, Dept Ophthalmol, Quzhou, Zhejiang,Peoples R China. 	PLOS ONE	Ex-PRESS Implantation versus Trabeculectomy in Open-Angle Glaucoma: A Meta-Analysis of Randomized Controlled Clinical Trials
chen h	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	EYE	Clinical characteristics of pigment dispersion syndrome in Chinese patients
chen haisi	China:Wenzhou Med Univ, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Translation, Cultural Adaptation, and Rasch Analysis of the Visual Function (VF-14) Questionnaire
chen haoyu	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong 123456, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Survey of systematic reviews and meta-analyses published in ophthalmology
chen haoyu	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong 123456, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Quantitative Analysis of Retinal Layer Optical Intensities on Three-Dimensional Optical Coherence Tomography
chen haoyu	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong 123456, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Ethnicity-based subgroup meta-analysis of the association of LOXL1 polymorphisms with glaucoma
chen haoyu	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. Shantou University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Interactive Effects of ATOH7 and RFTN1 in Association with Adult-Onset Primary Open-Angle Glaucoma
chen hongling	China:Chinese Univ Hong Kong, Shantou Univ, JSIEC, Shantou 515041, Guangdong,Peoples R China. Chinese University of Hong KongShantou University	DOCUMENTA OPHTHALMOLOGICA	The photopic negative response of flash ERG in nonproliferative diabetic retinopathy
chen hui	China:Nantong Univ, Affiliated Hosp, Dept Ophthalmol, Nantong,Peoples R China. Nantong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Genetic Dissection of the Gpnmb Network in the Eye
chen hui	China:Sichuan Acad Med Sci, Dept Ophthalmol, Chengdu 610072, Sichuan Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Changed trends of major causes of visual impairment in Sichuan, China from 1987 to 2006
chen huihui	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Suppression of Type I Collagen Expression by miR-29b via PI3K, Akt, and Sp1 Pathway in Human Tenon's Fibroblasts
chen huihui	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	JOURNAL OF GLAUCOMA	Comparison of the Icare Tonometer and the Hand-held Goldmann Applanation Tonometer in Pediatric Aphakia
chen huihui	China:Harvard Univ, Sch Med, Dept Ophthalmol, Schepens Eye Res Inst, Boston, MA 02114 USA. Harvard University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Optic Neuropathy Due to Microbead-Induced Elevated Intraocular Pressure in the Mouse
chen huihui	China:Harvard Univ, Sch Med, Dept Ophthalmol, Schepens Eye Res Inst, Boston, MA 02114 USA. Harvard University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Microbead-Induced Ocular Hypertensive Mouse Model for Screening and Testing of Aqueous Production Suppressants for Glaucoma
chen jiajia	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Biocompatibility and retinal support of a foldable capsular vitreous body injected with saline or silicone oil implanted in rabbit eyes
chen jian	China:Jinan Univ, Affiliated Hosp 1, Dept Ophthalmol, Guangzhou 510632, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Intravitreal triamcinolone versus intravitreal bevacizumab for diabetic macular edema: a meta-analysis
chen jianhuan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Interactive Effects of ATOH7 and RFTN1 in Association with Adult-Onset Primary Open-Angle Glaucoma
chen jianhuan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong,Peoples R China. Chinese University of Hong Kong	BMC OPHTHALMOLOGY	Association analysis of cigarette smoking with onset of primary open-angle glaucoma and glaucoma-related biometric parameters
chen jing	China:Gen Hosp Guangzhou Mil Command, Dept Ophthalmol, Guangzhou 510010, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endoscope-assisted goniosynechialysis combined with phacoemulsification and intraocular lens implantation to manage primary angle-closure glaucoma
chen jingjing	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	Ocular Hypertension after Pediatric Cataract Surgery: Baseline Characteristics and First-Year Report
chen jun	China:Sichuan Univ, W China Hosp, Ophthalm Labs, Chengdu 610041,Peoples R China. Sichuan University	MOLECULAR VISION	Sequence analysis of MYOC and CYP1B1 in a Chinese pedigree of primary open-angle glaucoma
chen junhong	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Visual Sci Lab, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Pro370Leu myocilin mutation in a Chinese pedigree with juvenile-onset open angle glaucoma
chen junyi	China:Fudan Univ, Dept Ophthalmol & Vis Sci, Eye & ENT Hosp, Shanghai Med Coll, Shanghai 200031,Peoples R China. Fudan University	BRITISH JOURNAL OF OPHTHALMOLOGY	Position of the central retinal vessel trunk and pattern of remaining visual field in advanced glaucoma
chen junyi	China:Fudan Univ, Dept Ophthalmol & Vis Sci, Eye & ENT Hosp, Shanghai Med Coll, Shanghai 200031,Peoples R China. Fudan University	OPHTHALMOLOGY	Spectral-Domain Optical Coherence Tomographic Assessment of Schlemm's Canal in Chinese Subjects with Primary Open-angle Glaucoma
chen junyi	China:Fudan Univ, Dept Ophthalmol & Vis Sci, Eye & ENT Hosp, Shanghai Med Coll, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Expansion of Schlemm's Canal by Travoprost in Healthy Subjects Determined by Fourier-Domain Optical Coherence Tomography
chen junyi	China:Fudan Univ, Dept Ophthalmol & Vis Sci, Eye & ENT Hosp, Shanghai Med Coll, Shanghai 200031,Peoples R China. Fudan University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Fourier domain OCT measurement of macular, macular ganglion cell complex, and peripapillary RNFL thickness in glaucomatous Chinese eyes
chen l	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Shatin, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Longitudinal profile of retinal ganglion cell damage assessed with blue-light confocal scanning laser ophthalmoscopy after ischaemic reperfusion injury
chen l	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Shatin, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Ethnicity-based subgroup meta-analysis of the association of LOXL1 polymorphisms with glaucoma
chen l	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Shatin, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Evaluation of LOXL1 polymorphisms in primary open-angle glaucoma in southern and northern Chinese
chen l	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Shatin, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Evaluation of SPARC as a candidate gene of juvenile-onset primary open-angle glaucoma by mutation and copy number analyses
chen l	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Shatin, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Multiple gene polymorphisms analysis revealed a different profile of genetic polymorphisms of primary open-angle glaucoma in northern Chinese
chen l	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Shatin, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	SNP rs1533428 at 2p16.3 as a marker for late-onset primary open-angle glaucoma
chen l	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Shatin, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Evaluation of NTF4 as a causative gene for primary open-angle glaucoma
chen l	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Shatin, Hong Kong,Peoples R China. Chinese University of Hong Kong	JOURNAL OF GLAUCOMA	Correlation Between Pupil Diameter and Angle Configuration in the Dark Room Provocative Test
chen l	China:Shanghai Jiao Tong Univ, Ruijin Hosp Affiliated, Dept Ophthalmol, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Influence of learning effect on blue-on-yellow perimetry
chen lei	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041,Peoples R China. Sichuan University	MOLECULAR VISION	Evaluation of monkey intraocular pressure by rebound tonometer
