adan alfredo	China:Chinese Univ Hong Kong, Dept Ophthalmol, Hong Kong Sanat & Hosp, Happy Valley, Hong Kong,Peoples R China. Chinese University of Hong Kong	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Visual Outcomes of Intravitreal Bevacizumab in Inflammatory Ocular Neovascularization
cai yan	China:Fourth Mil Med Univ, Dept Ophthalmol, Xijing Hosp, Xian 710032, Shaanxi,Peoples R China. Fourth Military Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Lentivirus Vector-Mediated Knockdown of Erythropoietin-Producing Hepatocellular Carcinoma Receptors B4 Inhibits Laser-Induced Choroidal Neovascularization
cai yan	China:Fourth Mil Med Univ, Dept Ophthalmol, Xijing Hosp, Xian 710032, Shaanxi,Peoples R China. Fourth Military Medical University	EXPERIMENTAL EYE RESEARCH	Hyperglycemia promotes vasculogenesis in choroidal neovascularization in diabetic mice by stimulating VEGF and SDF-1 expression in retinal pigment epithelial cells
cai yan	China:Fourth Mil Med Univ, Dept Ophthalmol, Xijing Hosp, Xian 710032, Shaanxi,Peoples R China. Fourth Military Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Monocyte/macrophages promote vasculogenesis in choroidal neovascularization in mice by stimulating SDF-1 expression in RPE cells
cai yan	China:Hosp Chinese PLA, Ophthalm Ctr, Urumqi 830013, Xinjiang Uygur,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Inhibition of retinopathy of prematurity in rat by intravitreal injection of sorafenib
campbellthompson martha	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Eye Inst, Chongqing Key Lab Ophthalmol, Chongqing,Peoples R China. Chongqing Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Diabetic eNOS-Knockout Mice Develop Accelerated Retinopathy
cao chen	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	CURRENT EYE RESEARCH	Proteomics of Post-Traumatic Proliferative Vitreoretinopathy in Rabbit Retina Reveals Alterations to a Variety of Functional Proteins
cao dan	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp 2, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Expression of EMMPRIN, MMPs and TIMP2 in retinoblastoma and normal retinal tissue
cao dan	China:Second Mil Med Univ, Affiliated Changhai Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Expression of transforming growth factor-beta type 1 receptor and transforming growth factor-beta type 2 receptor in diabetic rat retina
cao dan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Anticipation, anti-glaucoma drug treatment response and phenotype of a Chinese family with glaucoma caused by the Pro370Leu myocilin mutation
cao feng	China:Fourth Mil Med Univ, Xijing Hosp, Dept Cardiol, Xian 710032,Peoples R China. Fourth Military Medical University	OPHTHALMIC RESEARCH	In vivo Bioluminescence Imaging Monitoring of Stem Cells' Participation in Choroidal Neovascularization
cao guiqun	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041,Peoples R China. Sichuan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Neuroprotective Effects of C-Type Natriuretic Peptide on Rat Retinal Ganglion Cells
cao hui	China:Shanghai Jiao Tong Univ, Peoples Hosp 1, Dept Ophthalmol, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	OPHTHALMIC SURGERY LASERS & IMAGING	Combination of Internal Limiting Membrane Peeling and Endophotocoagulation for Retinal Detachment Related to High Myopia in Patients With Macular Hole
cao hui	China:Shanghai Jiao Tong Univ, Peoples Hosp 1, Dept Ophthalmol, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	Insulin-Like Growth Factor Binding Protein-Related Protein 1 Mediates VEGF-Induced Proliferation, Migration and Tube Formation of Retinal Endothelial Cells
cao jia	China:Nanjing Med Univ, Dept Ophthalmol, Wuxi Peoples Hosp, Wuxi, Jiangsu,Peoples R China. Nanjing Medical University	CURRENT EYE RESEARCH	Association Between a 27-bp Variable Number of Tandem Repeat Polymorphism in Intron 4 of the eNOS Gene and Risk for Diabetic Retinopathy Type 2 Diabetes Mellitus: A Meta-Analysis
cao lijun	China:Shandong Univ, Peoples Hosp Jinan 2, Dept Ophthalmol, Jinan 250021, Shandong,Peoples R China. Shandong University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Effect of irradiation time on riboflavin-ultraviolet-A collagen crosslinking in rabbit sclera
cao liming	China:Chinese Univ Hong Kong, Dept Ophthalmol, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	In Vitro Screening for Angiostatic Potential of Herbal Chemicals
cao lining	China:Tongji Univ, Dept Ophthalmol, Sch Med, Peoples Hosp 10, Shanghai 200092,Peoples R China. Tongji University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A beta-Induced Senescent Retinal Pigment Epithelial Cells Create a Proinflammatory Microenvironment in AMD
cao lining	China:Tongji Univ, Dept Ophthalmol, Sch Med, Peoples Hosp 10, Shanghai 200092,Peoples R China. Tongji University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Restoration of outer segments of foveal photoreceptors after resolution of malignant hypertensive retinopathy
cao pengjia	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Intraorbital optic nerve stimulation with penetrating electrodes: in vivo electrophysiology study in rabbits
cao pengjia	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Spatiotemporal Properties of Multipeaked Electrically Evoked Potentials Elicited by Penetrative Optic Nerve Stimulation in Rabbits
cao qun	China:Beijing Union Med Coll Hosp, Dept Ophthalmol, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPHTHALMOLOGICA	Retinal nerve fiber layer images captured by GDx-VCC in early diagnosis of glaucoma
cao weifang	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Anterior chamber depth and chamber angle and their associations with ocular and general parameters: The Beijing eye study
cao xi	China:Capital Med Univ, Beijing Tongren Hosp, Dept Endocrinol, Beijing,Peoples R China. Capital Medical University	PLOS ONE	Evaluation for Fasting and 2-hour Glucose and HbA(1)c for Diagnosing Diabetes Based on Prevalence of Retinopathy in a Chinese Population
cao xiaoguang	China:NEI, Immunopathol Sect, Immunol Lab, NIH, Bethesda, MD 20892 USA. National Institutes of Health (NIH) - USA	ACTA OPHTHALMOLOGICA	Diagnosis of systemic metastatic retinal lymphoma
cao xiaoguang	China:NEI, Immunopathol Sect, Immunol Lab, NIH, Bethesda, MD 20892 USA. National Institutes of Health (NIH) - USA	EXPERIMENTAL EYE RESEARCH	The effects of quercetin in cultured human RPE cells under oxidative stress and in Ccl2/Cx3cr1 double deficient mice
cao xiaoguang	China:NEI, Immunopathol Sect, Immunol Lab, NIH, Bethesda, MD 20892 USA. National Institutes of Health (NIH) - USA	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Enhanced HtrA2/Omi Expression in Oxidative Injury to Retinal Pigment Epithelial Cells and Murine Models of Neurodegeneration
cao xiaoguang	China:NEI, Immunopathol Sect, Immunol Lab, NIH, Bethesda, MD 20892 USA. National Institutes of Health (NIH) - USA	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Naloxone Ameliorates Retinal Lesions in Ccl2/Cx3cr1 Double-Deficient Mice via Modulation of Microglia
cao xiaoguang	China:NEI, Immunopathol Sect, Immunol Lab, NIH, Bethesda, MD 20892 USA. National Institutes of Health (NIH) - USA	SURVEY OF OPHTHALMOLOGY	Ophthalmic Manifestations and Histopathology of Xeroderma Pigmentosum: Two Clinicopathological Cases and a Review of the Literature
cao xiaoguang	China:Peking Univ, Peoples Hosp, Dept Ophthalmol, Beijing 100044,Peoples R China. Peking University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Quercetin inhibits choroidal and retinal angiogenesis in vitro
cao xiaorui	China:Fourth Mil Med Univ, Xijing Hosp, Dept Orthoped, Xian 710032, Shaanxi Provinc,Peoples R China. Fourth Military Medical University	EXPERIMENTAL EYE RESEARCH	Hyperglycemia promotes vasculogenesis in choroidal neovascularization in diabetic mice by stimulating VEGF and SDF-1 expression in retinal pigment epithelial cells
cao xusheng	China:Capital Med Univ, Beijing Ophthalmol & Visual Sci Key Lab, Beijing Tongren Hosp, Dept Ophthalmol,Beijing Tongren Eye Ctr, Beijing,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	SUBFOVEAL CHOROIDAL THICKNESS CHANGE AFTER INTRAVITREAL RANIBIZUMAB FOR IDIOPATHIC CHOROIDAL NEOVASCULARIZATION
cao xusheng	China:Capital Med Univ, Beijing Ophthalmol & Visual Sci Key Lab, Beijing Tongren Hosp, Dept Ophthalmol,Beijing Tongren Eye Ctr, Beijing,Peoples R China. Capital Medical University	OPHTHALMOLOGICA	Choroidal Thickness in Idiopathic Subfoveal Choroidal Neovacularization
cao yan	China:Fourth Mil Med Univ, Xijing Hosp, Dept Ophthalmol, Xian 710032, Shaanxi Prov,Peoples R China. Fourth Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	ET-1 expression and ultrastructural changes in the retina after exposure to infrasound in rats
cao yanqun	China:Shaoyang Med Coll, Dept Anat, Shaoyang 422000,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	The correlation between rat retinal nerve fiber layer thickness around optic disc by using optical coherence tomography and histological measurements
cen lingping	China:Joint Shantou Int Eye Ctr Shantou Univ & Chinese, Shantou,Peoples R China. 	MOLECULAR VISION	Adeno-associated virus-mediated expression of growth-associated protein-43 aggravates retinal ganglion cell death in experimental chronic glaucomatous injury
chai fang	China:Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Generation of Retinal Ganglion-like Cells from Reprogrammed Mouse Fibroblasts
chai jun	China:China Med Univ, Dept Anesthesiol, Shengjing Hosp, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of the dipeptide Arg-Gln on retinopathy of prematurity in mice
chai xinyu	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Intraorbital optic nerve stimulation with penetrating electrodes: in vivo electrophysiology study in rabbits
chai xinyu	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	DOCUMENTA OPHTHALMOLOGICA	Response properties of electrically evoked potential elicited by multi-channel penetrative optic nerve stimulation in rabbits
chai xinyu	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Chinese Character Recognition Using Simulated Phosphene Maps
chai xinyu	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Spatiotemporal Properties of Multipeaked Electrically Evoked Potentials Elicited by Penetrative Optic Nerve Stimulation in Rabbits
chai xinyu	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Reading Pixelized Paragraphs of Chinese Characters Using Simulated Prosthetic Vision
chai xinyu	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Penetrating electrode stimulation of the rabbit optic nerve: parameters and effects on evoked cortical potentials
chai xinyu	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Optimizing Chinese Character Displays Improves Recognition and Reading Performance of Simulated Irregular Phosphene Maps
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Quantitative assessment of optic nerve head morphology and retinal nerve fibre layer in nonarteritic anterior ischaemic optic neuropathy with optical coherence tomography and confocal scanning laser ophthalmoloscopy
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	EYE	Contribution of SNRNP200 sequence variations to retinitis pigmentosa
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Ophthalmic manifestations and risk factors for mortality of HIV patients in the post-highly active anti-retroviral therapy era
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Complement factor H and interleukin gene polymorphisms in patients with non-infectious intermediate and posterior uveitis
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	EFFICACY OF 1.25 MG VERSUS 2.5 MG INTRAVITREAL BEVACIZUMAB FOR DIABETIC MACULAR EDEMA Six-Month Results of a Randomized Controlled Trial
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	COMBINED HIGH-DOSE SUB-TENON TRIAMCINOLONE, INTRAVITREAL BEVACIZUMAB, AND LASER PHOTOCOAGULATION FOR REFRACTORY DIABETIC MACULAR EDEMA
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OCULAR IMMUNOLOGY AND INFLAMMATION	Clinical Characteristics of Intermediate Uveitis in Chinese Patients
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Association of NR2E3 but Not NRL Mutations with Retinitis Pigmentosa in the Chinese Population
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Factors associated with variability in response of diabetic macular oedema after intravitreal triamcinolone
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	The incidental findings of age-related macular degeneration during diabetic retinopathy screening
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMIC SURGERY LASERS & IMAGING	Retinal Nerve Fiber Layer Thickness After a Single Attack of Primary Acute Angle-Closure Glaucoma Measured With Optical Coherence Tomography
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	DOCUMENTA OPHTHALMOLOGICA	Global flash multifocal electroretinogram: early detection of local functional changes and its correlations with optical coherence tomography and visual field tests in diabetic eyes
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Anti-Inflammatory Effects of Lutein in Retinal Ischemic/Hypoxic Injury: In Vivo and In Vitro Studies
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Multifocal electroretinogram in rhodopsin P347L transgenic pigs
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Early local functional changes in the human diabetic retina: a global flash multifocal electroretinogram study
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Effect of inner retinal dysfunction on slow double-stimulation multifocal electroretinogram
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Temporal interactive response is resistant to cloudy ocular media in the slow double-stimulation multifocal electroretinogram
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	CLINICAL AND EXPERIMENTAL OPTOMETRY	Forward and backward adaptive effects in global flash multifocal electroretinogram stimulation
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	DOCUMENTA OPHTHALMOLOGICA	Pharmacologically defined components of the normal porcine multifocal ERG
