ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
chan kayin	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	-SCIENCE AND CLINICAL PRACTICE	Nidek ConfoScan 4 (Z-Ring) Measurements Over Soft Contact Lenses
chan kayin	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Corneal epithelial cell viability of an ex vivo porcine eye model
chan kayin	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Corneal parameters of six- to 12-year-old Chinese children
chan kayin	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CONTACT LENS & ANTERIOR EYE	Clinical performance of an orthokeratology lens fitted with the aid of a computer software in Chinese children
chan kayin	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Corneal Sublayer Thickness Measurements with The Nidek ConfoScan 4 (Z Ring)
chan chan	China:Queen Mary Hosp, Pokfulam, Hong Kong,Peoples R China. 	BMC OPHTHALMOLOGY	Intraoperative fracture of phacoemulsification sleeve
chan poemen	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Pressure-cornea-vascular index (PCVI) for predicting disease progression in normal tension glaucoma
chan tommyc	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Cataract surgery outcomes in adult patients with Down's syndrome
chana kayin	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CONTACT LENS & ANTERIOR EYE	Microbial adherence to cosmetic contact lenses
chang chaokai	China:Chongqing Med Univ, Affiliated Hosp 2, Dept Ophthalmol, Chongqing 400010,Peoples R China. Chongqing Medical University	CURRENT EYE RESEARCH	Inhibition Effect of Tetrandrine on Haze Formation after Epi-LASIK Surgery in Rabbits
chang chang	China:Hong Kong Sanat & Hosp, Dept Ophthalmol, Guy Hugh Chan Refract Surg Ctr, Hong Kong, Hong Kong,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Intraoperative flap re-cut after vertical gas breakthrough during femtosecond laser keratectomy
chang chang	China:Hong Kong Sanat & Hosp, Dept Ophthalmol, Guy Hugh Chan Refract Surg Ctr, Hong Kong, Hong Kong,Peoples R China. 	JOURNAL OF REFRACTIVE SURGERY	Conductive Keratoplasty to Treat Hyperopic Overcorrection After LASIK for Myopia
chang qing	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200433,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Endoscopy-assisted vitrectomy for treatment of severe endophthalmitis with retinal detachment
charm jessie	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CONTACT LENS & ANTERIOR EYE	High myopia-partial reduction orthokeratology (HM-PRO): Study design
charm jessie	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	High Myopia-Partial Reduction Ortho-k: A 2-Year Randomized Study
chau ricky	China:Private Eye Ctr, Hong Kong, Hong Kong,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Effect of laser in situ keratomileusis on rebound tonometry and Goldmann applanation tonometry
che cy	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	CURRENT EYE RESEARCH	Association of TLR2 and TLR4 Gene Single Nucleotide Polymorphisms with Fungal Keratitis in Chinese Han Population
che cy	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of corneal graft diameter on therapeutic penetrating keratoplasty for fungal keratitis
che cy	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	CURRENT EYE RESEARCH	TLR-mediated Induction of Proinflammatory Cytokine IL-32 in Corneal Epithelium
che cy	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Expression of dectin-1 during fungus infection in human corneal epithelial cells
che cy	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Early expression of surfactant proteins D in Fusarium solani infected rat cornea
che cy	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	The roles of surfactant protein D during Aspergillus fumigatus infection in human corneal epithelial cells
che cy	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Characteristics of ocular abnormalities in gout patients
che cy	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Nucleotide oligomerization domain 2 contributes to the innate immune response in THCE cells stimulated by Aspergillus fumigatus conidia
che cy	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Dectin-1 expression at early period of Aspergillus fumigatus infection in rat's corneal epithelium
che cy	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Regulation of interleukin 33/ST2 signaling of human corneal epithelium in allergic diseases
che cy	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effects of COX-2 inhibitor NS-398 on IL-10 expression in rat fungal keratitis
chen bin	China:Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Corneal Biomechanics, Refractive Error, and Axial Length in Chinese Primary School Children
chen bin	China:Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. 	CURRENT EYE RESEARCH	Corneal Hysteresis Is Correlated with Reduction in Axial Length After Trabeculectomy
chen bin	China:Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. 	CORNEA	Determinants of Postoperative Corneal Edema and Impact on Goldmann Intraocular Pressure
chen bing	China:Chinese Peoples Liberat Army Gen Hosp, Dept Ophthalmol, Beijing 100853,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Evaluation of immersion 20 MHz B-scan ultrasonography in observing lens in the alkali burn eyes
chen bing	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Torsional ultrasound efficiency under different vacuum levels in different degrees of nuclear cataract
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Ocular hypertension
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Subfoveal Choroidal Thickness: The Beijing Eye Study
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	PLOS ONE	Prevalence and Associations of Incomplete Posterior Vitreous Detachment in Adult Chinese: The Beijing Eye Study
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Anterior chamber depth and chamber angle and their associations with ocular and general parameters: The Beijing eye study
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Subfoveal Choroidal Thickness in Diabetes and Diabetic Retinopathy
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Visual Acuity and Subfoveal Choroidal Thickness: The Beijing Eye Study
chen changx	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Central corneal thickness in adult Chinese. Association with ocular and general parameters. The Beijing Eye Study
chen chao	China:NW Univ Xian, Natl Engn Res Ctr Miniaturized Detect Syst, Sch Life Sci, Xian 710069, Shaanxi,Peoples R China. Northwest University Xian	OPHTHALMIC GENETICS	Ophthalmic findings in a family with early-onset isolated ectopia lentis and the p.Arg62Cys mutation of the fibrillin-1 gene (FBN1)
chen chiachi	China:Hong Kong Polytech Univ, Sch Optometry, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Toric Orthokeratology for Highly Astigmatic Children
chen chongda	China:Wenzhou Med Univ, Affiliated Cixi Hosp, Dept Ophthalmol, Cixi,Peoples R China. 	BMC OPHTHALMOLOGY	Refractive change in the adult rabbit eye after corneal relaxation with the femtosecond laser
chen chuyin	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Prevalence of corneal astigmatism before cataract surgery in Chinese patients
chen connie	China:Hong Kong Polytech Univ, Sch Optometry, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Myopia Control Using Toric Orthokeratology (TO-SEE Study)
chen d	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EYE	Association between corneal biomechanical properties and myopia in Chinese subjects
chen d	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Visual and optical performance of eyes with different corneal spherical aberration implanted with aspheric intraocular lens
chen d	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	A New Approach for Active Removal of 5,000 Centistokes Silicone Oil Through 23-Gauge Cannula
chen d	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	JOURNAL OF REFRACTIVE SURGERY	Changes in Ocular Response Analyzer Parameters After LASIK
chen d	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Monitor Corneal Epithelial Healing Under Bandage Contact Lens Using Ultrahigh-Resolution Optical Coherence Tomography After Pterygium Surgery
chen dan	China:Fourth Mil Med Univ, Sch Basic Med, Electron Microscop Ctr, Xian 710032,Peoples R China. Fourth Military Medical University	MOLECULAR VISION	Reconstruction of damaged cornea by autologous transplantation of epidermal adult stem cells
chen davie	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Reliability and repeatability of the Pentacam on corneal curvatures
chen davie	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	A pilot study on the corneal biomechanical changes in short-term orthokeratology
chen davie	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	Posterior corneal curvature change and recovery after 6 months of overnight orthokeratology treatment
chen davie	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPHTHALMOLOGY	The influence of cornea properties on rebound tonometry
chen davie	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	The Usefulness of Waveform Score from the Ocular Response Analyzer
chen dong	China:Sun Yat Sen Univ, Affiliated Hosp 1, Guangzhou,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A rabbit dry eye model induced by topical medication of a preservative benzalkonium chloride
chen dong	China:Sun Yat Sen Univ, Affiliated Hosp 1, Guangzhou,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Enhanced survival in vitro of human corneal endothelial cells using mouse embryonic stem cell conditioned medium
chen feng	China:Univ Miami, Miller Sch Med, Bascom Palmer Eye Inst, Dept Ophthalmol, Miami, FL 33136 USA. University of Miami	-SCIENCE AND CLINICAL PRACTICE	Repeated Measurements of the Anterior Segment During Accommodation Using Long Scan Depth Optical Coherence Tomography
chen feng	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Upper Punctal Occlusion versus Lower Punctal Occlusion in Dry Eye
chen guangsheng	China:Liuzhou Red Cross Assoc Hosp, Liuzhou Eye Hosp, Eye Laser Dept, Liuzhou 545001, Guangxi Zhuang,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Transepithelial photorefractive keratectomy mode using SCHWIND-ESIRIS excimer laser: initial clinical results
chen guoling	China:Shandong Univ, Hosp 2, Dept Ophthalmol, Jinan 250033, Shandong,Peoples R China. Shandong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Evaluation of corneal graft survival in mice model
chen guoming	China:Zhengzhou Univ, Peoples Hosp, Henan Prov Peoples Hosp, Dept Ophthalmol,Henan Eye Inst,Henan Eye Hosp, Zhengzhou 450003,Peoples R China. Zhengzhou University	EXPERIMENTAL EYE RESEARCH	A novel murine model of Fusarium solani keratitis utilizing fluorescent labeled fungi
chen h	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	EYE	Clinical characteristics of pigment dispersion syndrome in Chinese patients
chen hao	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Strain-dependent production of interleukin-17/interferon-gamma and matrix remodeling-associated genes in experimental Candida albicans keratitis
chen hao	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Prophylactic Effect of Topical Fluoroquinolones in a Rabbit Model of Staphylococcus aureus Endophthalmitis
chen hao	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Efficacy of Gemifloxacin for the Treatment of Experimental Staphylococcus aureus Keratitis
chen hao	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Development of a novel ex vivo model of corneal fungal adherence
chen hao	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Role of Adaptive Immunity in the Pathogenesis of Candida albicans Keratitis
chen hao	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Activation of focal adhesion kinase enhances the adhesion of Fusarium solani to human corneal epithelial cells via the tyrosine-specific protein kinase signaling pathway
chen hao	China:Wenzhou Med Univ, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Repeatability, reproducibility, and agreement of corneal power measurements obtained with a new corneal topographer
chen haoyu	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	CLINICAL AND EXPERIMENTAL OPTOMETRY	Imaging inadvertent Descemet's membrane break secondary to cataract surgery
chen haoyu	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. Shantou University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Interactive Effects of ATOH7 and RFTN1 in Association with Adult-Onset Primary Open-Angle Glaucoma
